Service,Announcement Status,Announcement Type,Pre-announce date,GA date,GA in Sydney date,Pre-announcement link,GA link,Sydney link,Notes,Announced as GA,"Announced as GA, but not in Sydney",Went GA,Went GA in Sydney,Went GA in Sydney at same time,Days until GA,Days until GA in Sydney,Days Sydney GA after GA
AWS Outposts,Pre-announce,Service,28/11/2018,n/a,n/a,https://aws.amazon.com/about-aws/whats-new/2018/11/announcing-aws-outposts/,,,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Firecracker,GA,Open Source,n/a,27/11/2018,27/11/2018,,https://aws.amazon.com/blogs/opensource/firecracker-open-source-secure-fast-microvm-serverless/,https://aws.amazon.com/blogs/opensource/firecracker-open-source-secure-fast-microvm-serverless/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
EC2 Hibernation,GA,Feature,n/a,28/11/2018,28/11/2018,,https://aws.amazon.com/blogs/aws/new-hibernate-your-ec2-instances/,https://aws.amazon.com/blogs/aws/new-hibernate-your-ec2-instances/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
Lightsail Tagging,GA,Feature,n/a,28/11/2018,28/11/2018,,https://aws.amazon.com/about-aws/whats-new/2018/11/amazon-lightsail-now-supports-resource-tagging/,https://aws.amazon.com/about-aws/whats-new/2018/11/amazon-lightsail-now-supports-resource-tagging/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
Lightsail export to EC2,GA,Feature,n/a,28/11/2018,28/11/2018,,https://aws.amazon.com/about-aws/whats-new/2018/11/amazon-lightsail-now-provides-an-upgrade-path-to-ec2/,https://aws.amazon.com/about-aws/whats-new/2018/11/amazon-lightsail-now-provides-an-upgrade-path-to-ec2/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
IoT Device Tester,GA,Open Source,n/a,26/11/2018,26/11/2018,,https://aws.amazon.com/about-aws/whats-new/2018/11/aws-iot-device-tester-now-available/,https://aws.amazon.com/about-aws/whats-new/2018/11/aws-iot-device-tester-now-available/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
IoT SiteWise,Preview,Service,26/11/2018,n/a,n/a,https://aws.amazon.com/about-aws/whats-new/2018/11/announcing-aws-iot-sitewise-now-available-in-preview/,,,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
IoT Greengrass Extended Functionality,GA,Feature,n/a,26/11/2018,26/11/2018,,https://aws.amazon.com/about-aws/whats-new/2018/11/aws-iot-greengrass-extends-functionality-with-connectors-to-external-applications-hardware-root-of-trust-security-and-isolation-configurations/,https://aws.amazon.com/about-aws/whats-new/2018/11/aws-iot-greengrass-extends-functionality-with-connectors-to-external-applications-hardware-root-of-trust-security-and-isolation-configurations/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
IoT Greengrass support for Amazon Sagemaker Neo and ML Inference Connectors,GA,Feature,n/a,28/11/2018,28/11/2018,,https://aws.amazon.com/about-aws/whats-new/2018/11/aws-iot-greengrass-now-supports-amazon-sagemaker-neo/,https://aws.amazon.com/about-aws/whats-new/2018/11/aws-iot-greengrass-now-supports-amazon-sagemaker-neo/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
KMS Custom Key Store,GA,Feature,n/a,26/11/2018,26/11/2018,,https://aws.amazon.com/about-aws/whats-new/2018/11/announcing-aws-key-management-service-kms-custom-key-store/,https://aws.amazon.com/about-aws/whats-new/2018/11/announcing-aws-key-management-service-kms-custom-key-store/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
AWS Elemental MediaConnect,GA,Service,n/a,27/11/2018,27/11/2018,,https://aws.amazon.com/about-aws/whats-new/2018/11/introducing-aws-elemental-mediaconnect/,https://aws.amazon.com/about-aws/whats-new/2018/11/introducing-aws-elemental-mediaconnect/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
RoboMaker,GA,Service,n/a,26/11/2018,n/a,,https://aws.amazon.com/about-aws/whats-new/2018/11/announcing-aws-robomaker-a-new-cloud-robotics-service/,,,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0
Marketplace Container Products,GA,Feature,n/a,27/11/2018,27/11/2018,,https://aws.amazon.com/about-aws/whats-new/2018/11/aws-announces-new-container-products-in-awsmarketplace/,https://aws.amazon.com/about-aws/whats-new/2018/11/aws-announces-new-container-products-in-awsmarketplace/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
Marketplace - Private Marketplace,GA,Feature,n/a,27/11/2018,27/11/2018,,https://aws.amazon.com/blogs/aws/new-aws-marketplace-makes-it-easier-to-govern-software-procurement-with-private-marketplace/,https://aws.amazon.com/blogs/aws/new-aws-marketplace-makes-it-easier-to-govern-software-procurement-with-private-marketplace/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
Marketplace deploy to Amazon Sagemaker,GA,Feature,n/a,28/11/2018,28/11/2018,,https://aws.amazon.com/blogs/aws/new-machine-learning-algorithms-and-model-packages-now-available-in-aws-marketplace/,https://aws.amazon.com/blogs/aws/new-machine-learning-algorithms-and-model-packages-now-available-in-aws-marketplace/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
